Package-Name,Machine,Link,Path,Date-Download,Date-Delete,Trigger,Objective,Description,Cluster,Query
rkpacktest,5,"npmjs.com/package/rkpacktest",/package/script.py,23.05,1 month ago,Runtime,Dependency Confusion,Python script for searching private packages and publishing public packages,1,Script in another language (Python)
scilla,5,"npmjs.com/package/scilla",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
scilla-server,5,"npmjs.com/package/scilla-server",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
tangerine-state-viewer,5,"npmjs.com/package/tangerine-state-viewer",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
ual-reactjs-renderer-example,5,"npmjs.com/package/ual-reactjs-renderer-example",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
universal-authenticator-library-js-example,5,"npmjs.com/package/universal-authenticator-library-js-example",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
vault-updater,5,"npmjs.com/package/vault-updater",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
vimeo-threejs-player,5,"npmjs.com/package/vimeo-threejs-player",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
vimeo_depth_player,5,"npmjs.com/package/vimeo_depth_player",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
vt-blockchain-bootcamp-starter-frontend,5,"npmjs.com/package/vt-blockchain-bootcamp-starter-frontend",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
web-discovery-project,5,"npmjs.com/package/web-discovery-project",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
z-wallet,5,"npmjs.com/package/z-wallet",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
zilliqa-exchange-tutorial,5,"npmjs.com/package/zilliqa-exchange-tutorial",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
zilliqa-token-contract,5,"npmjs.com/package/zilliqa-token-contract",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
zilliqa-social-pay,5,"npmjs.com/package/zilliqa-social-pay",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
zrc2-wallet-zilliqa,5,"npmjs.com/package/zrc2-wallet-zilliqa",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
link-bubble,4,"npmjs.com/package/link-bubble",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
linkbubble-website,4,"npmjs.com/package/linkbubble-website",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
misk-web-tab-app,4,"npmjs.com/package/misk-web-tab-app",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
misk-web-tab-config,4,"npmjs.com/package/misk-web-tab-config",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
misk-web-tab-database,4,"npmjs.com/package/misk-web-tab-database",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
misk-web-docs,4,"npmjs.com/package/misk-web-docs",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
misk-web-tab-admin-dashboard,4,"npmjs.com/package/misk-web-tab-admin-dashboard",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
misk-web-tab-template-basic,4,"npmjs.com/package/misk-web-tab-template-basic",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
misk-web-tab-web-actions,4,"npmjs.com/package/misk-web-tab-web-actions",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
misk-webadmin,4,"npmjs.com/package/misk-webadmin",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
multisig,4,"npmjs.com/package/multisig",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
neo-savant,4,"npmjs.com/package/neo-savant",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
nucleus-wallet,4,"npmjs.com/package/nucleus-wallet",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
onepassword_events_api,4,"npmjs.com/package/onepassword_events_api",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
downloadkubernetes,3,"npmjs.com/package/downloadkubernetes",/package/index.js,24.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
jira-cloud-for-sketch,3,"npmjs.com/package/jira-cloud-for-sketch",/package/index.js,24.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
jira-frontend,3,"npmjs.com/package/jira-frontend",/package/index.js,24.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
kruit,3,"npmjs.com/package/kruit",/package/index.js,24.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
kubernetes-dashboard,3,"npmjs.com/package/kubernetes-dashboard",/package/index.js,24.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
kubernetes-ui,3,"npmjs.com/package/kubernetes-ui",/package/index.js,24.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
aframe-vimeo-component,2,"npmjs.com/package/aframe-vimeo-component",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
ai-aws-manager,2,"npmjs.com/package/ai-aws-manager",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
ai-cluster-manager,2,"npmjs.com/package/ai-cluster-manager",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
atlassian-sketch-plugin,2,"npmjs.com/package/atlassian-sketch-plugin",/package/index.js,23.05,22 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
brave-bitgo-client,2,"npmjs.com/package/brave-bitgo-client",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
brave-core,2,"npmjs.com/package/brave-core",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
brave-eyeshade,2,"npmjs.com/package/brave-eyeshade",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
brave-extension,2,"npmjs.com/package/brave-extension",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
brave-chromium-themes,2,"npmjs.com/package/brave-chromium-themes",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
brave-core-crx-packager,2,"npmjs.com/package/brave-core-crx-packager",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
brave-ios,2,"npmjs.com/package/brave-ios",/package/index.js,23.05,17 days ago,Install,Unknown,Requests some unknown IP address and saves itself as dependency,2,request_save_prod
