Package-Name,Machine,Query,Link,Path,Date-Publish,Date-Download,Date-Query,Date-Report,State,Available,Trigger,Objective,Description
require-jq,5,bug_bounty_exfiltration,"npmjs.com/package/require-jq",/package/index.js,1 day ago,23.05,07.07,15.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
whatsapp-landing-page,5,bug_bounty_exfiltration,"npmjs.com/package/whatsapp-landing-page",/package/index.js,1 day ago,23.05,11.07,15.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
starbuckssystem.website,5,bug_bounty_exfiltration,"npmjs.com/package/starbuckssystem.website",/package/index.js,1 day ago,23.05,08.07,15.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
tss-marketing,5,bug_bounty_exfiltration,"npmjs.com/package/tss-marketing",/package/index.js,1 day ago,23.05,10.07,15.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
rsk-devportal,5,bug_bounty_exfiltration,"npmjs.com/package/rsk-devportal",/package/index.js,1 day ago,23.05,07.07,16.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
sales-demo,5,bug_bounty_exfiltration,"npmjs.com/package/sales-demo",/package/index.js,1 day ago,23.05,08.07,16.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
search-gov-website,5,bug_bounty_exfiltration,"npmjs.com/package/search-gov-website",/package/index.js,1 day ago,23.05,08.07,16.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
serverless-push-hasura,5,bug_bounty_exfiltration,"npmjs.com/package/serverless-push-hasura",/package/index.js,1 day ago,23.05,08.07,16.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
sparhandy-speedtest,5,bug_bounty_exfiltration,"npmjs.com/package/sparhandy-speedtest",/package/index.js,1 day ago,23.05,08.07,16.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
style-guide-microsite,5,bug_bounty_exfiltration,"npmjs.com/package/style-guide-microsite",/package/index.js,1 day ago,23.05,09.07,18.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
vyopta-analytics,5,bug_bounty_exfiltration,"npmjs.com/package/vyopta-analytics",/package/index.js,1 day ago,23.05,11.07,18.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
rg-engineering,5,bug_bounty_exfiltration,"npmjs.com/package/rg-engineering",/package/index.js,1 day ago,23.05,07.07,18.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
ua-publication-manager,5,bug_bounty_exfiltration,"npmjs.com/package/ua-publication-manager",/package/index.js,1 day ago,23.05,10.07,18.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
web-kore-sdk,5,bug_bounty_exfiltration,"npmjs.com/package/web-kore-sdk",/package/index.js,1 day ago,23.05,11.07,18.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
nozbedesktop,4,bug_bounty_exfiltration,"npmjs.com/package/nozbedesktop",/package/index.js,1 day ago,23.05,09.07,19.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
oidc-frontend,4,bug_bounty_exfiltration,"npmjs.com/package/oidc-frontend",/package/index.js,1 day ago,23.05,10.07,19.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
phoenix.site,4,bug_bounty_exfiltration,"npmjs.com/package/phoenix.site",/package/index.js,1 day ago,23.05,10.07,19.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
promofline,4,bug_bounty_exfiltration,"npmjs.com/package/promofline",/package/index.js,1 day ago,23.05,10.07,19.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
promohline,4,bug_bounty_exfiltration,"npmjs.com/package/promohline",/package/index.js,1 day ago,23.05,10.07,19.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
mgpro.www,4,bug_bounty_exfiltration,"npmjs.com/package/mgpro.www",/package/index.js,1 day ago,23.05,08.07,20.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
mofronts,4,bug_bounty_exfiltration,"npmjs.com/package/mofronts",/package/index.js,1 day ago,23.05,08.07,20.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
nodejs-email,4,bug_bounty_exfiltration,"npmjs.com/package/nodejs-email",/package/index.js,1 day ago,23.05,09.07,20.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
portail-web,4,bug_bounty_exfiltration,"npmjs.com/package/portail-web",/package/index.js,1 day ago,23.05,10.07,20.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
ledger-live-assets,4,bug_bounty_exfiltration,"npmjs.com/package/ledger-live-assets",/package/index.js,1 day ago,23.05,07.07,20.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
okbirthday2015,4,bug_bounty_exfiltration,"npmjs.com/package/okbirthday2015",/package/index.js,1 day ago,23.05,10.07,21.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
promotemplate,4,bug_bounty_exfiltration,"npmjs.com/package/promotemplate",/package/index.js,1 day ago,23.05,10.07,21.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
quick-app-guide,4,bug_bounty_exfiltration,"npmjs.com/package/quick-app-guide",/package/index.js,1 day ago,23.05,11.07,21.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
ethics,3,bug_bounty_exfiltration,"npmjs.com/package/ethics",/package/index.js,1 day ago,24.05,08.07,21.07,Violation,Yes,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
fitbit-connect,3,bug_bounty_exfiltration,"npmjs.com/package/fitbit-connect",/package/index.js,1 day ago,24.05,09.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
identity-dev-docs,3,bug_bounty_exfiltration,"npmjs.com/package/identity-dev-docs",/package/index.js,1 day ago,24.05,10.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
it-roche,3,bug_bounty_exfiltration,"npmjs.com/package/it-roche",/package/index.js,1 day ago,24.05,11.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
kinesis-app-panel,3,bug_bounty_exfiltration,"npmjs.com/package/kinesis-app-panel",/package/index.js,1 day ago,24.05,11.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
emarketing,3,bug_bounty_exfiltration,"npmjs.com/package/emarketing",/package/index.js,1 day ago,24.05,08.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
hemlibrademo1,3,bug_bounty_exfiltration,"npmjs.com/package/hemlibrademo1",/package/index.js,1 day ago,24.05,10.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
hyatt-mumbai,3,bug_bounty_exfiltration,"npmjs.com/package/hyatt-mumbai",/package/index.js,1 day ago,24.05,10.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
identity-partners-site,3,bug_bounty_exfiltration,"npmjs.com/package/identity-partners-site",/package/index.js,1 day ago,24.05,10.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
identity-sam-landing,3,bug_bounty_exfiltration,"npmjs.com/package/identity-sam-landing",/package/index.js,1 day ago,24.05,10.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
emagister-front,3,bug_bounty_exfiltration,"npmjs.com/package/emagister-front",/package/index.js,1 day ago,24.05,08.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
fullcontact-wpengine,3,bug_bounty_exfiltration,"npmjs.com/package/fullcontact-wpengine",/package/index.js,1 day ago,24.05,09.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
irisk,3,bug_bounty_exfiltration,"npmjs.com/package/irisk",/package/index.js,1 day ago,24.05,11.07,,,No,Install,Data Exfiltration,Steals specific OS information (hostname and homedir) and sends it using DNS to claim bug bounty (bugbot)
